id,goal,trajectory,image_filename,points,timestamp
cd08eaff-2dae-410b-8188-71aa8e13b2ba,Click the button.,"[[3, [60, 50]], [1, [60, 60]], [3, [70, 60]], [1, [70, 70]], [3, [80, 70]], [1, [80, 80]], [3, [90, 80]], [1, [90, 90]], [3, [100, 90]], [1, [100, 100]], [3, [110, 100]], [1, [110, 110]], [3, [120, 110]], [5, [120, 110]]]",b93cefa9-a918-484c-abf9-e96b434d4c57.png,"{""#1"": ""(0,0)-(160,50)"", ""#2"": ""(100,90)-(139,129)""}",2025-01-04T09:53:30
6e988516-d814-4542-83ae-51cc51bc6cea,Click the button.,"[[1, [50, 60]], [1, [50, 70]], [1, [50, 80]], [1, [50, 90]], [1, [50, 100]], [1, [50, 110]], [1, [50, 120]], [1, [50, 130]], [3, [60, 130]], [1, [60, 140]], [3, [70, 140]], [1, [70, 150]], [3, [80, 150]], [1, [80, 160]], [3, [90, 160]], [5, [90, 160]]]",cae73ff5-5760-45c9-a1b0-123cdd2227fa.png,"{""#1"": ""(0,0)-(160,50)"", ""#2"": ""(45,115)-(129,199)""}",2025-01-04T09:53:46
f36c7746-ca82-402c-83c8-1e11228a274d,Click the button.,"[[1, [50, 60]], [1, [50, 70]], [1, [50, 80]], [1, [50, 90]], [1, [50, 100]], [1, [50, 110]], [1, [50, 120]], [1, [50, 130]], [1, [50, 140]], [2, [40, 140]], [5, [40, 140]]]",252f9f89-60e4-411d-84d5-872f36b7c3d0.png,"{""#1"": ""(0,0)-(160,50)"", ""#2"": ""(12,107)-(73,168)""}",2025-01-04T09:54:05
d439035d-0b5d-42a6-b35b-b8ffd6e1ce19,Click the button.,"[[1, [50, 60]], [1, [50, 70]], [1, [50, 80]], [1, [50, 90]], [1, [50, 100]], [1, [50, 110]], [1, [50, 120]], [1, [50, 130]], [1, [50, 140]], [5, [50, 140]]]",9bba90cb-d507-486e-bdcb-1e8cc4a0d8d8.png,"{""#1"": ""(2,92)-(99,188)"", ""#2"": ""(0,0)-(160,50)""}",2025-01-04T10:03:15
737ef6f5-9cae-47cc-997e-b61d5fc95633,Click the button.,"[[1, [50, 60]], [1, [50, 70]], [1, [50, 80]], [1, [50, 90]], [1, [50, 100]], [1, [50, 110]], [1, [50, 120]], [1, [50, 130]], [3, [60, 130]], [1, [60, 140]], [3, [70, 140]], [5, [70, 140]]]",58c64852-1843-435e-ba62-148caea57765.png,"{""#1"": ""(0,0)-(160,50)"", ""#2"": ""(51,117)-(90,156)""}",2025-01-04T10:03:26
dba7a6be-506b-4ef9-a0cb-1d6028e8a8e8,Click the button.,"[[1, [50, 60]], [1, [50, 70]], [1, [50, 80]], [1, [50, 90]], [1, [50, 100]], [1, [50, 110]], [1, [50, 120]], [1, [50, 130]], [1, [50, 140]], [1, [50, 150]], [3, [60, 150]], [5, [60, 150]]]",4dab13c8-b5e5-4370-87ff-204a1ea0de60.png,"{""#1"": ""(0,0)-(160,50)"", ""#2"": ""(27,110)-(102,184)""}",2025-01-04T10:03:47
ef8c5f5d-993e-4b8c-b4f6-66b622da9ae9,Click the button.,"[[1, [50, 60]], [1, [50, 70]], [1, [50, 80]], [1, [50, 90]], [1, [50, 100]], [1, [50, 110]], [1, [50, 120]], [1, [50, 130]], [3, [60, 130]], [1, [60, 140]], [3, [70, 140]], [1, [70, 150]], [3, [80, 150]], [5, [80, 150]]]",4dc70661-908b-4aac-99d2-2bbe7b43f55f.png,"{""#1"": ""(0,0)-(160,50)"", ""#2"": ""(41,110)-(115,184)""}",2025-01-04T10:12:55
0d423a49-ac47-4235-8630-ae4c20747013,Click the button.,"[[1, [50, 60]], [1, [50, 70]], [1, [50, 80]], [1, [50, 90]], [1, [50, 100]], [1, [50, 110]], [1, [50, 120]], [1, [50, 130]], [3, [60, 130]], [1, [60, 140]], [3, [70, 140]], [1, [70, 150]], [3, [80, 150]], [5, [80, 150]]]",f8e87084-a621-49e4-b784-44e5795f591a.png,"{""#1"": ""(0,0)-(160,50)"", ""#2"": ""(54,129)-(105,180)""}",2025-01-04T10:13:11
c586bfe0-48f6-4365-9ff5-e1ce4b82f5eb,Click the button.,"[[1, [50, 60]], [1, [50, 70]], [1, [50, 80]], [1, [50, 90]], [1, [50, 100]], [1, [50, 110]], [1, [50, 120]], [1, [50, 130]], [1, [50, 140]], [3, [60, 140]], [1, [60, 150]], [3, [70, 150]], [1, [70, 160]], [3, [80, 160]], [5, [80, 160]]]",25032e49-6878-4814-bed2-e9f626038f16.png,"{""#1"": ""(0,0)-(160,50)"", ""#2"": ""(52,135)-(104,187)""}",2025-01-04T10:13:31
77e13a67-03e8-4518-b5f3-588757c98cdd,Click the button.,"[[1, [50, 60]], [1, [50, 70]], [1, [50, 80]], [1, [50, 90]], [1, [50, 100]], [1, [50, 110]], [3, [60, 110]], [5, [60, 110]]]",1529c887-e135-4ad6-906e-957c6ec458f3.png,"{""#1"": ""(0,0)-(160,50)"", ""#2"": ""(34,88)-(76,130)""}",2025-01-04T10:22:43
